X,Y
4.522,-0.387
4.522,-0.387
4.522,-0.387
4.522,-0.387
4.522,-0.387
4.522,-0.387
4.522,-0.387
4.522,-0.387
4.522,-0.387
4.522,-0.387
4.522,-0.387
4.522,-0.387
4.579,-0.305
4.601,-0.299
4.686,-0.111
4.975,0.127
4.661,-0.206
4.661,-0.206
4.661,-0.206
4.661,-0.206
4.663,-0.051
4.663,-0.051
4.609,0.015
4.609,0.015
4.342,0.072
4.342,0.072
4.342,0.072
4.342,0.072
4.236,0.277
4.236,0.277
4.545,0.33
4.615,0.339
4.615,0.339
4.281,0.451
4.529,0.429
4.463,0.452
4.281,0.519
4.433,0.547
4.547,0.604
4.547,0.604
4.547,0.604
4.468,0.679
4.419,0.738
4.419,0.738
4.451,0.806
4.337,0.853
4.403,0.842
4.403,0.842
4.403,0.842
4.361,1.013
4.359,1.052
4.359,1.052
4.433,1.125
4.387,1.164
4.387,1.164
4.373,1.229
4.368,1.286
4.41,1.325
4.272,1.354
4.308,1.396
4.242,1.435
4.238,1.469
4.284,1.522
4.197,1.589
4.224,1.588
4.217,1.599
4.239,1.664
4.296,1.697
4.325,1.729
4.325,1.729
4.325,1.729
4.011,1.684
4.32,1.871
4.42,1.918
4.194,1.953
4.256,1.986
4.251,2.028
4.178,2.123
4.178,2.123
4.227,2.122
4.251,2.166
4.186,2.288
4.226,2.246
4.22,2.302
4.247,2.35
4.195,2.379
4.233,2.413
4.206,2.412
4.161,2.444
4.189,2.461
4.16,2.491
4.175,2.528
4.232,2.481
4.177,2.486
4.173,2.536
4.148,2.505
4.155,2.503
4.157,2.515
4.174,2.527
4.171,2.536
4.151,2.536
4.14,2.567
4.171,2.578
4.173,2.588
4.18,2.586
4.178,2.585
4.187,2.594
4.164,2.585
4.167,2.581
4.178,2.584
4.176,2.581
4.181,2.585
4.167,2.579
4.173,2.581
4.184,2.579
4.177,2.586
4.173,2.588
4.157,2.581
4.164,2.586
4.149,2.576
4.16,2.581
4.164,2.586
4.176,2.59
4.157,2.581
4.163,2.583
4.158,2.578
4.17,2.587
4.151,2.579
4.173,2.588
4.183,2.588
4.161,2.633
4.183,2.588
4.17,2.588
4.176,2.598
4.197,2.595
4.177,2.588
4.203,2.587
4.196,2.59
4.147,2.583
4.189,2.613
4.201,2.627
4.214,2.636
4.208,2.636
4.247,2.652
4.238,2.657
4.303,2.655
4.26,2.674
4.264,2.643
4.3,2.687
4.311,2.672
4.265,2.713
4.278,2.65
4.364,2.626
4.33,2.619
4.316,2.71
4.321,2.656
4.316,2.63
4.355,2.597
4.361,2.597
4.378,2.585
4.388,2.574
4.402,2.581
4.387,2.6
4.404,2.56
4.334,2.567
4.36,2.575
4.305,2.597
4.315,2.6
4.315,2.563
4.313,2.562
4.317,2.559
4.31,2.552
4.357,2.56
4.313,2.568
4.377,2.549
4.38,2.528
4.386,2.537
4.41,2.523
4.386,2.523
4.386,2.523
4.372,2.532
4.344,2.542
4.33,2.545
4.291,2.542
4.33,2.536
4.337,2.528
4.363,2.519
4.36,2.579
4.427,2.49
4.379,2.579
4.375,2.468
4.394,2.448
4.408,2.446
4.372,2.443
4.389,2.471
4.381,2.529
4.375,2.511
4.35,2.502
4.31,2.509
4.287,2.5
4.353,2.503
4.355,2.491
4.392,2.508
4.321,2.544
4.341,2.479
4.419,2.442
4.413,2.414
4.361,2.415
4.348,2.401
4.341,2.452
4.402,2.387
4.342,2.374
4.324,2.359
4.305,2.364
4.299,2.361
4.31,2.395
4.278,2.376
4.312,2.403
4.262,2.384
4.306,2.39
4.248,2.377
4.244,2.356
4.231,2.381
4.157,2.461
4.197,2.417
4.186,2.431
4.217,2.454
4.161,2.491
4.175,2.486
4.167,2.457
4.179,2.431
4.205,2.444
4.259,2.422
4.203,2.427
4.212,2.436
4.161,2.431
4.195,2.437
4.201,2.459
4.192,2.471
4.192,2.456
4.22,2.463
4.23,2.461
4.188,2.463
4.184,2.498
4.188,2.484
4.17,2.439
4.215,2.503
4.215,2.503
4.183,2.54
4.203,2.458
4.21,2.467
4.191,2.465
